Technique,Collision Rate (%),Reached Rate (%),Route Completion,#files(col),#files(rea),#files(way)
Proposed Method,34.98653642006936,62.07707954520482,3052.3551834803843,6,6,6
CQL,41.09557385290803,52.33132562688995,2787.3313550643884,6,6,6
AWAC,76.08333333333334,23.916666666666668,2918.0616666666665,6,6,6
SAC,72.48664939932098,21.43762320085072,1442.6862106836516,6,6,6
