Technique,Collision Rate (%),Reached Rate (%),#files(collided),#files(reached)
Proposed Method,41.51924707431301,57.541596045415076,6,6
CQL,80.33771745297949,19.439907463144927,6,6
AWAC,84.5056032163273,15.476999428070739,6,6
SAC,64.37547116148993,30.11285513334271,6,6
